id;timeset;commclass
93;<[2001.0, 2002.0, 2003.0, 2004.0, 2005.0, 2006.0, 2007.0, 2008.0, 2009.0]>;"<[2001.0, 1]; [2002.0, 0]; [2003.0, 1]; [2004.0, 1]; [2005.0, 1]; [2006.0, 1]; [2007.0, 1]; [2008.0, 1]; [2009.0, 5]>"
94;<[2001.0]>;"<[2001.0, 3]>"
95;<[2001.0, 2002.0, 2004.0, 2005.0, 2006.0, 2007.0, 2008.0, 2009.0]>;"<[2001.0, 3]; [2002.0, 4]; [2004.0, 4]; [2005.0, 1]; [2006.0, 1]; [2007.0, 1]; [2008.0, 1]; [2009.0, 5]>"
96;<[2001.0]>;"<[2001.0, 3]>"
97;<[2001.0, 2004.0, 2007.0]>;"<[2001.0, 1]; [2004.0, 0]; [2007.0, 1]>"
98;<[2001.0]>;"<[2001.0, 3]>"
99;<[2001.0, 2002.0]>;"<[2001.0, 3]; [2002.0, 4]>"
100;<[2001.0, 2002.0, 2004.0, 2005.0, 2006.0, 2007.0, 2009.0]>;"<[2001.0, 1]; [2002.0, 4]; [2004.0, 1]; [2005.0, 1]; [2006.0, 1]; [2007.0, 0]; [2009.0, 5]>"
101;<[2001.0, 2003.0]>;"<[2001.0, 1]; [2003.0, 1]>"
102;<[2001.0, 2002.0]>;"<[2001.0, 1]; [2002.0, 4]>"
103;<[2001.0]>;"<[2001.0, 1]>"
104;<[2001.0, 2002.0, 2008.0, 2009.0]>;"<[2001.0, 1]; [2002.0, 4]; [2008.0, 1]; [2009.0, 5]>"
105;<[2001.0, 2002.0, 2003.0, 2005.0]>;"<[2001.0, 1]; [2002.0, 4]; [2003.0, 1]; [2005.0, 1]>"
106;<[2001.0, 2002.0, 2003.0, 2006.0]>;"<[2001.0, 1]; [2002.0, 4]; [2003.0, 1]; [2006.0, 0]>"
107;<[2001.0, 2002.0, 2003.0, 2005.0, 2006.0, 2007.0, 2008.0, 2009.0]>;"<[2001.0, 1]; [2002.0, 4]; [2003.0, 1]; [2005.0, 1]; [2006.0, 1]; [2007.0, 1]; [2008.0, 1]; [2009.0, 5]>"
108;<[2001.0, 2009.0]>;"<[2001.0, 1]; [2009.0, 5]>"
109;<[2001.0]>;"<[2001.0, 1]>"
110;<[2001.0]>;"<[2001.0, 3]>"
111;<[2001.0, 2003.0, 2004.0, 2007.0]>;"<[2001.0, 1]; [2003.0, 1]; [2004.0, 1]; [2007.0, 1]>"
112;<[2001.0]>;"<[2001.0, 3]>"
113;<[2001.0]>;"<[2001.0, 1]>"
114;<[2001.0]>;"<[2001.0, 1]>"
115;<[2001.0]>;"<[2001.0, 1]>"
116;<[2001.0, 2002.0, 2003.0, 2004.0, 2005.0, 2009.0]>;"<[2001.0, 1]; [2002.0, 4]; [2003.0, 0]; [2004.0, 1]; [2005.0, 1]; [2009.0, 5]>"
117;<[2001.0, 2003.0, 2004.0]>;"<[2001.0, 1]; [2003.0, 3]; [2004.0, 1]>"
118;<[2001.0]>;"<[2001.0, 3]>"
119;<[2001.0]>;"<[2001.0, 3]>"
120;<[2001.0, 2004.0]>;"<[2001.0, 1]; [2004.0, 1]>"
121;<[2001.0]>;"<[2001.0, 1]>"
122;<[2001.0, 2005.0, 2007.0, 2008.0]>;"<[2001.0, 1]; [2005.0, 1]; [2007.0, 5]; [2008.0, 1]>"
123;<[2001.0]>;"<[2001.0, 1]>"
124;<[2001.0, 2002.0, 2005.0, 2006.0, 2007.0, 2008.0, 2009.0]>;"<[2001.0, 0]; [2002.0, 4]; [2005.0, 1]; [2006.0, 1]; [2007.0, 0]; [2008.0, 1]; [2009.0, 5]>"
125;<[2001.0]>;"<[2001.0, 3]>"
126;<[2001.0]>;"<[2001.0, 3]>"
127;<[2001.0, 2006.0]>;"<[2001.0, 1]; [2006.0, 1]>"
128;<[2001.0, 2002.0, 2004.0, 2005.0, 2006.0, 2007.0, 2009.0]>;"<[2001.0, 1]; [2002.0, 4]; [2004.0, 1]; [2005.0, 1]; [2006.0, 1]; [2007.0, 0]; [2009.0, 5]>"
129;<[2001.0, 2002.0, 2003.0, 2004.0, 2005.0]>;"<[2001.0, 1]; [2002.0, 4]; [2003.0, 1]; [2004.0, 1]; [2005.0, 1]>"
130;<[2001.0]>;"<[2001.0, 1]>"
131;<[2001.0, 2002.0, 2005.0, 2006.0]>;"<[2001.0, 1]; [2002.0, 4]; [2005.0, 1]; [2006.0, 1]>"
132;<[2001.0, 2004.0, 2005.0, 2006.0]>;"<[2001.0, 1]; [2004.0, 1]; [2005.0, 1]; [2006.0, 1]>"
133;<[2001.0]>;"<[2001.0, 1]>"
134;<[2001.0]>;"<[2001.0, 1]>"
135;<[2001.0]>;"<[2001.0, 1]>"
136;<[2001.0, 2002.0, 2004.0]>;"<[2001.0, 1]; [2002.0, 4]; [2004.0, 1]>"
137;<[2001.0]>;"<[2001.0, 1]>"
138;<[2001.0, 2002.0, 2003.0, 2004.0, 2005.0, 2006.0, 2007.0, 2008.0, 2009.0]>;"<[2001.0, 1]; [2002.0, 4]; [2003.0, 1]; [2004.0, 4]; [2005.0, 1]; [2006.0, 0]; [2007.0, 1]; [2008.0, 1]; [2009.0, 5]>"
139;<[2001.0, 2002.0, 2004.0, 2005.0, 2006.0, 2007.0, 2008.0]>;"<[2001.0, 3]; [2002.0, 4]; [2004.0, 0]; [2005.0, 1]; [2006.0, 0]; [2007.0, 1]; [2008.0, 1]>"
140;<[2001.0]>;"<[2001.0, 3]>"
141;<[2001.0, 2002.0, 2003.0, 2004.0, 2005.0, 2006.0, 2007.0, 2008.0, 2009.0]>;"<[2001.0, 1]; [2002.0, 4]; [2003.0, 3]; [2004.0, 1]; [2005.0, 1]; [2006.0, 1]; [2007.0, 1]; [2008.0, 1]; [2009.0, 5]>"
142;<[2001.0, 2002.0, 2003.0, 2004.0, 2005.0, 2006.0, 2007.0, 2008.0, 2009.0]>;"<[2001.0, 3]; [2002.0, 4]; [2003.0, 3]; [2004.0, 4]; [2005.0, 1]; [2006.0, 1]; [2007.0, 1]; [2008.0, 1]; [2009.0, 5]>"
143;<[2001.0, 2002.0, 2003.0, 2004.0, 2005.0, 2006.0, 2007.0, 2008.0]>;"<[2001.0, 3]; [2002.0, 4]; [2003.0, 3]; [2004.0, 4]; [2005.0, 1]; [2006.0, 1]; [2007.0, 1]; [2008.0, 1]>"
144;<[2001.0]>;"<[2001.0, 1]>"
145;<[2001.0, 2002.0, 2003.0, 2004.0, 2005.0, 2007.0]>;"<[2001.0, 1]; [2002.0, 4]; [2003.0, 1]; [2004.0, 1]; [2005.0, 1]; [2007.0, 1]>"
146;<[2001.0, 2003.0, 2005.0, 2007.0]>;"<[2001.0, 1]; [2003.0, 1]; [2005.0, 1]; [2007.0, 1]>"
147;<[2001.0, 2002.0]>;"<[2001.0, 3]; [2002.0, 4]>"
148;<[2001.0, 2006.0]>;"<[2001.0, 1]; [2006.0, 1]>"
149;<[2001.0]>;"<[2001.0, 1]>"
150;<[2001.0]>;"<[2001.0, 1]>"
151;<[2001.0]>;"<[2001.0, 1]>"
152;<[2001.0]>;"<[2001.0, 0]>"
153;<[2001.0]>;"<[2001.0, 1]>"
154;<[2001.0, 2002.0, 2003.0, 2004.0, 2005.0, 2006.0, 2008.0, 2009.0]>;"<[2001.0, 1]; [2002.0, 4]; [2003.0, 1]; [2004.0, 1]; [2005.0, 1]; [2006.0, 1]; [2008.0, 1]; [2009.0, 5]>"
155;<[2001.0, 2004.0, 2005.0, 2006.0, 2008.0]>;"<[2001.0, 1]; [2004.0, 1]; [2005.0, 1]; [2006.0, 1]; [2008.0, 1]>"
156;<[2001.0, 2004.0, 2005.0, 2006.0, 2008.0]>;"<[2001.0, 1]; [2004.0, 1]; [2005.0, 1]; [2006.0, 1]; [2008.0, 1]>"
157;<[2001.0]>;"<[2001.0, 1]>"
158;<[2001.0, 2004.0]>;"<[2001.0, 1]; [2004.0, 0]>"
159;<[2001.0]>;"<[2001.0, 1]>"
160;<[2001.0, 2002.0, 2003.0, 2004.0, 2005.0, 2006.0, 2008.0]>;"<[2001.0, 1]; [2002.0, 4]; [2003.0, 3]; [2004.0, 1]; [2005.0, 1]; [2006.0, 0]; [2008.0, 1]>"
161;<[2001.0, 2002.0, 2004.0, 2005.0, 2009.0]>;"<[2001.0, 1]; [2002.0, 4]; [2004.0, 1]; [2005.0, 5]; [2009.0, 5]>"
162;<[2001.0]>;"<[2001.0, 1]>"
163;<[2001.0, 2003.0, 2004.0, 2005.0, 2006.0, 2007.0, 2008.0, 2009.0]>;"<[2001.0, 1]; [2003.0, 1]; [2004.0, 1]; [2005.0, 1]; [2006.0, 1]; [2007.0, 1]; [2008.0, 1]; [2009.0, 0]>"
164;<[2001.0]>;"<[2001.0, 3]>"
165;<[2001.0, 2002.0, 2004.0, 2006.0, 2009.0]>;"<[2001.0, 1]; [2002.0, 4]; [2004.0, 0]; [2006.0, 1]; [2009.0, 5]>"
166;<[2001.0, 2002.0, 2004.0, 2006.0, 2007.0]>;"<[2001.0, 1]; [2002.0, 4]; [2004.0, 1]; [2006.0, 1]; [2007.0, 1]>"
167;<[2001.0, 2002.0, 2006.0]>;"<[2001.0, 1]; [2002.0, 4]; [2006.0, 0]>"
