id;my_node_type
1001041;bc2001
1001042;bc2001
1001043;bc2001
1001044;bc2001
1001045;bc2001
1001046;bc2001
1001047;bc2001
1001048;bc2001
1001049;bc2001
1001050;bc2001
1001051;bc2001
1001052;bc2001
1001053;bc2001
1001054;bc2001
1001055;bc2001
1001056;bc2001
1001057;bc2001
1001058;bc2001
1001059;bc2001
1001060;bc2001
1001061;bc2001
1001062;bc2001
1001063;bc2001
1001064;bc2001
1001065;bc2001
1001066;bc2001
1001067;bc2001
1001068;bc2001
1001069;bc2001
1001070;bc2001
1001071;bc2001
1001072;bc2001
1001073;bc2001
1001074;bc2001
1001075;bc2001
1001076;bc2001
1001077;bc2001
1001078;bc2001
1001079;bc2001
1001080;bc2001
1001081;bc2001
1001082;bc2001
1001083;bc2001
1001084;bc2001
1001085;bc2001
1001086;bc2001
1001087;bc2001
1001088;bc2001
1001089;bc2001
1001090;bc2001
1001091;bc2001
1001092;bc2001
1001093;bc2001
1001094;bc2001
1001095;bc2001
1001096;bc2001
1001097;bc2001
1001098;bc2001
1001099;bc2001
1001100;bc2001
1001101;bc2001
1001102;bc2001
1001103;bc2001
1001104;bc2001
1001105;bc2001
1001106;bc2001
1001107;bc2001
1001108;bc2001
1001109;bc2001
1001110;bc2001
1001111;bc2001
1001112;bc2001
1001113;bc2001
1001114;bc2001
1001115;bc2001
1001116;bc2001
1001117;bc2001
1001118;bc2001
1001119;bc2001
1001120;bc2001
1001121;bc2001
1001122;bc2001
1001123;bc2001
1001124;bc2001
1001125;bc2001
1001126;bc2001
1001127;bc2001
1001128;bc2001
1001129;bc2001
1001130;bc2001
1001131;bc2001
1001132;bc2001
1001133;bc2001
1001134;bc2001
1001135;bc2001
1001136;bc2001
1001137;bc2001
1001138;bc2001
1001139;bc2001
1001140;bc2001
1001141;bc2001
1001142;bc2001
1001143;bc2001
1001144;bc2001
1001145;bc2001
1001146;bc2001
1001147;bc2001
1001148;bc2001
1001149;bc2001
1001150;bc2001
1001151;bc2001
1001152;bc2001
1001153;bc2001
1001154;bc2001
1001155;bc2001
1001156;bc2001
1001157;bc2001
1001158;bc2001
1001159;bc2001
1001160;bc2001
1001161;bc2001
1001162;bc2001
1001163;bc2001
1001164;bc2001
1001165;bc2001
1001166;bc2001
1001167;bc2001
1001168;bc2001
1001169;bc2001
1001170;bc2001
1001171;bc2001
1001172;bc2001
1001173;bc2001
1001174;bc2001
1001175;bc2001
1001176;bc2001
1001177;bc2001
1001178;bc2001
1001179;bc2001
1001180;bc2001
1001181;bc2001
1001182;bc2001
1001183;bc2001
1001184;bc2001
1001185;bc2001
1001186;bc2001
1001187;bc2001
1001188;bc2001
1001189;bc2001
1001190;bc2001
1001191;bc2001
1001192;bc2001
1001193;bc2001
1001194;bc2001
1001195;bc2001
1001196;bc2001
1001197;bc2001
1001198;bc2001
1001199;bc2001
1001200;bc2001
1001201;bc2001
1001202;bc2001
1001203;bc2001
1001204;bc2001
1001205;bc2001
1001206;bc2001
1001207;bc2001
1001208;bc2001
1001209;bc2001
1001210;bc2001
1001211;bc2001
1001212;bc2001
1001213;bc2001
1001214;bc2001
1001215;bc2001
1001216;bc2001
1001217;bc2001
1001218;bc2001
1001219;bc2001
1001220;bc2001
1001221;bc2001
1001222;bc2001
1001223;bc2001
1001224;bc2001
1001225;bc2001
1001226;bc2001
1001227;bc2001
1001228;bc2001
1001229;bc2001
1001230;bc2001
1001231;bc2001
1001232;bc2001
1001233;bc2001
1001234;bc2001
1001235;bc2001
1001236;bc2001
1001237;bc2001
1001238;bc2001
1001239;bc2001
1001240;bc2001
1001241;bc2001
1001242;bc2001
1001243;bc2001
1001244;bc2001
1001245;bc2001
1001246;bc2001
1001247;bc2001
1001248;bc2001
1001249;bc2001
1001250;bc2001
1001251;bc2001
1001252;bc2001
1001253;bc2001
1001254;bc2001
1001255;bc2001
1001256;bc2001
1001257;bc2001
1001258;bc2001
1001259;bc2001
1001260;bc2001
1001261;bc2001
1001262;bc2001
1001263;bc2001
1001264;bc2001
1001265;bc2001
1001266;bc2001
1001267;bc2001
1001268;bc2001
1001269;bc2001
1001270;bc2001
1001271;bc2001
1001272;bc2001
1001273;bc2001
1001274;bc2001
1001275;bc2001
1001276;bc2001
1001277;bc2001
1001278;bc2001
1001279;bc2001
1001280;bc2001
1001281;bc2001
1001282;bc2001
1001283;bc2001
1001284;bc2001
1001285;bc2001
1001286;bc2001
1001287;bc2001
1001288;bc2001
1001289;bc2001
1001290;bc2001
1001291;bc2001
1001292;bc2001
1001293;bc2001
1001294;bc2001
1001295;bc2001
1001296;bc2001
1001297;bc2001
1001298;bc2001
1001299;bc2001
1001300;bc2001
1001301;bc2001
1001302;bc2001
1001303;bc2001
1001304;bc2001
1001305;bc2001
1001306;bc2001
1001307;bc2001
1001308;bc2001
1001309;bc2001
1001310;bc2001
1001311;bc2001
1001312;bc2001
1001313;bc2001
1001314;bc2001
1001315;bc2001
1001316;bc2001
1001317;bc2001
1001318;bc2001
1001319;bc2001
1001320;bc2001
1001321;bc2001
1001322;bc2001
1001323;bc2001
1001324;bc2001
1001325;bc2001
1001326;bc2001
1001327;bc2001
1001328;bc2001
1001329;bc2001
1001330;bc2001
1001331;bc2001
1001332;bc2001
1001333;bc2001
1001334;bc2001
1001335;bc2001
1001336;bc2001
1001337;bc2001
1001338;bc2001
1001339;bc2001
1001340;bc2001
1001341;bc2001
1001342;bc2001
1001343;bc2001
1001344;bc2001
1001345;bc2001
1001346;bc2001
1001347;bc2001
1001348;bc2001
1001349;bc2001
1001350;bc2001
1001351;bc2001
1001352;bc2001
1001353;bc2001
1001354;bc2001
1001355;bc2001
1001356;bc2001
1001357;bc2001
1001358;bc2001
1001359;bc2001
1001360;bc2001
1001361;bc2001
1001362;bc2001
1001363;bc2001
1001364;bc2001
1001365;bc2001
1001366;bc2001
1001367;bc2001
1001368;bc2001
1001369;bc2001
1001370;bc2001
1001371;bc2001
1001372;bc2001
1001373;bc2001
1001374;bc2001
1001375;bc2001
1001376;bc2001
1001377;bc2001
1001378;bc2001
1001379;bc2001
1001380;bc2001
1001381;bc2001
1001382;bc2001
1001383;bc2001
1001384;bc2001
1001385;bc2001
1001386;bc2001
1001387;bc2001
1001388;bc2001
1001389;bc2001
1001390;bc2001
1001391;bc2001
1001392;bc2001
1001393;bc2001
1001394;bc2001
1001395;bc2001
1001396;bc2001
1001397;bc2001
1001398;bc2001
1001399;bc2001
1001400;bc2001
1001401;bc2001
1001402;bc2001
1001403;bc2001
1001404;bc2001
1001405;bc2001
1001406;bc2001
1001407;bc2001
1001408;bc2001
1001409;bc2001
1001410;bc2001
1001411;bc2001
1001412;bc2001
1001413;bc2001
1001414;bc2001
1001415;bc2001
1001416;bc2001
1001417;bc2001
1001418;bc2001
1001419;bc2001
1001420;bc2001
1001421;bc2001
1001422;bc2001
1001423;bc2001
1001424;bc2001
1001425;bc2001
1001426;bc2001
1001427;bc2001
1001428;bc2001
1001429;bc2001
1001430;bc2001
1001431;bc2001
1001432;bc2001
1001433;bc2001
1001434;bc2001
1001435;bc2001
1001436;bc2001
1001437;bc2001
1001438;bc2001
1001439;bc2001
1001440;bc2001
1001441;bc2001
1001442;bc2001
1001443;bc2001
1001444;bc2001
1001445;bc2001
1001446;bc2001
1001447;bc2001
1001448;bc2001
1001449;bc2001
1001450;bc2001
1001451;bc2001
1001452;bc2001
1001453;bc2001
1001454;bc2001
1001455;bc2001
1001456;bc2001
1001457;bc2001
1001458;bc2001
1001459;bc2001
1001460;bc2001
1001461;bc2001
1001462;bc2001
1001463;bc2001
1001464;bc2001
1001465;bc2001
1001466;bc2001
1001467;bc2001
1001468;bc2001
1001469;bc2001
1001470;bc2001
1001471;bc2001
1001472;bc2001
1001473;bc2001
1001474;bc2001
1001475;bc2001
1001476;bc2001
1001477;bc2001
1001478;bc2001
1001479;bc2001
1001480;bc2001
1001481;bc2001
1001482;bc2001
1001483;bc2001
1001484;bc2001
1001485;bc2001
1001486;bc2001
1001487;bc2001
1001488;bc2001
1001489;bc2001
1001490;bc2001
1001491;bc2001
1001492;bc2001
1001493;bc2001
1001494;bc2001
1001495;bc2001
1001496;bc2001
1001497;bc2001
1001498;bc2001
1001499;bc2001
1001500;bc2001
1001501;bc2001
1001502;bc2001
1001503;bc2001
1001504;bc2001
1001505;bc2001
1001506;bc2001
1001507;bc2001
1001508;bc2001
1001509;bc2001
1001510;bc2001
1001511;bc2001
1001512;bc2001
1001513;bc2001
1001514;bc2001
1001515;bc2001
1001516;bc2001
1001517;bc2001
1001518;bc2001
1001519;bc2001
1001520;bc2001
1001521;bc2001
1001522;bc2001
1001523;bc2001
1001524;bc2001
1001525;bc2001
1001526;bc2001
1001527;bc2001
1001528;bc2001
1001529;bc2001
1001530;bc2001
1001531;bc2001
1001532;bc2001
1001533;bc2001
1001534;bc2001
1001535;bc2001
1001536;bc2001
1001537;bc2001
1001538;bc2001
1001539;bc2001
1001540;bc2001
1001541;bc2001
1001542;bc2001
1001543;bc2001
1001544;bc2001
1001545;bc2001
1001546;bc2001
1001547;bc2001
1001548;bc2001
1001549;bc2001
1001550;bc2001
1001551;bc2001
