Source;Target;Type;Weight;CommLink
10001;2831;Directed;0.001;11
10001;2832;Directed;0.001;11
10001;2833;Directed;0.001;11
10001;2834;Directed;0.001;11
10001;2835;Directed;0.001;11
10001;2836;Directed;0.001;11
10001;2837;Directed;0.001;11
10001;2838;Directed;0.001;11
10001;2839;Directed;0.001;11
10001;2840;Directed;0.001;11
10001;2841;Directed;0.001;11
10001;2842;Directed;0.001;11
10001;2843;Directed;0.001;11
10001;2844;Directed;0.001;11
10001;2845;Directed;0.001;11
10001;2846;Directed;0.001;11
10001;2847;Directed;0.001;11
10001;2848;Directed;0.001;11
10001;2849;Directed;0.001;11
10001;2850;Directed;0.001;11
10001;2851;Directed;0.001;11
10001;2852;Directed;0.001;11
10001;2853;Directed;0.001;11
10001;2854;Directed;0.001;11
10001;2855;Directed;0.001;11
10001;2856;Directed;0.001;11
10001;2857;Directed;0.001;11
10001;2858;Directed;0.001;11
10001;2859;Directed;0.001;11
10001;2860;Directed;0.001;11
10001;2861;Directed;0.001;11
10001;2862;Directed;0.001;11
10001;2863;Directed;0.001;11
10001;2864;Directed;0.001;11
10001;2865;Directed;0.001;11
10001;2866;Directed;0.001;11
10001;2867;Directed;0.001;11
10001;2868;Directed;0.001;11
10001;2869;Directed;0.001;11
10001;2870;Directed;0.001;11
10001;2871;Directed;0.001;11
10001;2872;Directed;0.001;11
10001;2873;Directed;0.001;11
10001;2874;Directed;0.001;11
10001;2875;Directed;0.001;11
10001;2876;Directed;0.001;11
10001;2877;Directed;0.001;11
10001;2878;Directed;0.001;11
10001;2879;Directed;0.001;11
10001;2880;Directed;0.001;11
10001;2881;Directed;0.001;11
10001;2882;Directed;0.001;11
10001;2883;Directed;0.001;11
10001;2884;Directed;0.001;11
10001;2885;Directed;0.001;11
10001;2886;Directed;0.001;11
10001;2887;Directed;0.001;11
10001;2888;Directed;0.001;11
10001;2889;Directed;0.001;11
10001;2890;Directed;0.001;11
10001;2891;Directed;0.001;11
10001;2892;Directed;0.001;11
10001;2893;Directed;0.001;11
10001;2894;Directed;0.001;11
10001;2895;Directed;0.001;11
10001;2896;Directed;0.001;11
10001;2897;Directed;0.001;11
10001;2898;Directed;0.001;11
10001;2899;Directed;0.001;11
10001;2900;Directed;0.001;11
10001;2901;Directed;0.001;11
10001;2902;Directed;0.001;11
10001;2903;Directed;0.001;11
10001;2904;Directed;0.001;11
10001;2905;Directed;0.001;11
10001;2906;Directed;0.001;11
10001;2907;Directed;0.001;11
10001;2908;Directed;0.001;11
10001;2909;Directed;0.001;11
10001;2910;Directed;0.001;11
10001;2911;Directed;0.001;11
10001;2912;Directed;0.001;11
10001;2913;Directed;0.001;11
10001;2914;Directed;0.001;11
10001;2915;Directed;0.001;11
10001;2916;Directed;0.001;11
10001;2917;Directed;0.001;11
10001;2918;Directed;0.001;11
10001;2919;Directed;0.001;11
10001;2920;Directed;0.001;11
10001;2921;Directed;0.001;11
10001;2922;Directed;0.001;11
10001;2923;Directed;0.001;11
10001;2924;Directed;0.001;11
10001;2925;Directed;0.001;11
10001;2926;Directed;0.001;11
10001;2927;Directed;0.001;11
10001;2928;Directed;0.001;11
10001;2929;Directed;0.001;11
10001;2930;Directed;0.001;11
10001;2931;Directed;0.001;11
10001;2932;Directed;0.001;11
10001;2933;Directed;0.001;11
10001;2934;Directed;0.001;11
10001;2935;Directed;0.001;11
10001;2936;Directed;0.001;11
10001;2937;Directed;0.001;11
10001;2938;Directed;0.001;11
10001;2939;Directed;0.001;11
10001;2940;Directed;0.001;11
10001;2941;Directed;0.001;11
10001;2942;Directed;0.001;11
